year,Childrens,Classics,Contemporary,Crime,Cultural,European Literature,Fantasy,Fiction,Historical,Historical Fiction,Literature,Mystery,Mystery Thriller,Nonfiction,Paranormal,Romance,Science Fiction,Suspense,Thriller,Young Adult
1980,1.106094808,0.813772455,1.036803365,0.444444444,0.789817232,0.70754717,0.816608128,0.41816706,0.897466828,0.888819488,0.693794507,0.410978184,0.839160839,0.47734139,0.363662761,0.957924264,0.839237057,0.4375,0.753122704,0.982130584
1981,1.106094808,0.813772455,1.036803365,0.796251511,0.789817232,0.70754717,1,0.83633412,0.897466828,0.888819488,0.693794507,0.821956369,0.62937063,0.47734139,0.363662761,0.957924264,0.839237057,0.65625,0.753122704,0.982130584
1982,1.106094808,0.813772455,1.036803365,0.398125756,0.394908616,0.70754717,0.816608128,0.41816706,0.4,0.4,0.693794507,0.410978184,0.41958042,0.47734139,0.363662446,0.957924264,0.839237057,0.875,0.376561352,0
1983,2.212189616,1.62754491,1.036803365,0.796251511,0.789817232,0.70754717,0.408304064,0.41816706,1.794933655,1.777638976,0.693794507,0.821956369,0.62937063,0.47734139,0.363662761,0.5,0.419618529,0.875,0.753122704,1.964261168
1984,1.106094808,0.813772455,2.07360673,0.796251511,0.789817232,0.70754717,0.816608128,0.83633412,0.897466828,0.888819488,0.693794507,0.821956369,0.839160839,0.47734139,0.363662761,0.728962132,0.839237057,0.875,0.753122704,0.982130584
1985,1.106094808,0.813772455,1.555205048,0.796251511,0.789817232,0.70754717,0.816608128,0.83633412,0.666666667,0.666666667,0.693794507,0.821956369,0.839160839,0.47734139,0.368662761,0.957924264,0.839237057,0.875,0.753122704,0.666666667
1986,1.106094808,0.813772455,1.036803365,0.333333333,0.789817232,0.70754717,0.816608128,0.83633412,0.897466828,0.888819488,0.333333333,0.333333333,0.839160839,0.47734139,0.373662761,0.957924264,0.839237057,0.875,1.333333333,0.982130584
1987,0.571428571,0.813772455,1.036803365,1.592503023,0.789817232,1.41509434,0.816608128,0.83633412,1.794933655,1.777638976,1.387589013,1.643912738,1.678321678,0.47734139,1.494651044,0.5,0.839237057,0.875,1.506245408,0.571428571
1988,1.106094808,0.813772455,0.851735016,0.796251511,0.789817232,0.70754717,0.816608128,0.83633412,0.897466828,0.888819488,1,0.821956369,1,0.47734139,0.747325522,0.5,0.839237057,1,1,0.491065292
1989,1.106094808,0.813772455,0.666666667,0.444444444,0.789817232,0.5,0.816608128,0.83633412,0.897466828,0.888819488,0.693794507,0.888888889,1,0.47734139,0.888888889,0.957924264,0.839237057,0.875,0.888888889,0.982130584
1990,1.106094808,0.813772455,1.036803365,0.796251511,0.394908616,0.583333333,1.633216257,1.672668241,1.794933655,1.777638976,0.693794507,1.643912738,0.839160839,0.47734139,0.747325522,0.957924264,1.5,0.875,1.506245408,0.982130584
1991,1.106094808,0.813772455,1,0.796251511,0.789817232,0.70754717,0.408304064,0.83633412,1.794933655,1.777638976,0.693794507,1.428571429,0.839160839,0.47734139,0.428571429,1.4,0.419618529,0.875,0.376561352,1.428571429
1992,1.106094808,0.813772455,1.036803365,0.796251511,0.789817232,0.70754717,0.816608128,0.83633412,0.897466828,0.888819488,0.693794507,0.821956369,0.839160839,0.47734139,1.494651044,1,0.839237057,0.875,0.454545455,0.982130584
1993,1.106094808,0.813772455,1.036803365,0.796251511,0.789817232,0.70754717,0.875,0.83633412,0.897466828,0.888819488,0.693794507,0.821956369,0.839160839,0.47734139,0.747325522,1.915848527,0.839237057,1.75,1.506245408,0.875
1994,1.106094808,0.813772455,1.036803365,0.4,0.789817232,0.70754717,0.816608128,0.83633412,0.897466828,0.888819488,0.666666667,0.4,0.839160839,0.47734139,0.5,0.957924264,0.839237057,0.875,0.5,0.4
1995,1.106094808,0.813772455,1,0.75,0.789817232,0.70754717,1.633216257,1.672668241,1.794933655,1.777638976,1.387589013,0.75,1.678321678,0.47734139,0.747325522,1,0.839237057,0.875,1,0.982130584
1996,1.106094808,0.813772455,2.07360673,0.796251511,0.789817232,1,0.816608128,0.83633412,0.897466828,0.888819488,0.693794507,0.821956369,0.839160839,0.47734139,1,0.957924264,1,0.875,0.753122704,0.982130584
1997,0.75,0.813772455,1.036803365,0.796251511,0.789817232,1.41509434,1,0.83633412,0.897466828,0.888819488,0.693794507,1,1,0.47734139,1,0.957924264,0.839237057,0.875,1,0.75
1998,1.106094808,0.813772455,0.518401682,0.796251511,1.5,0.70754717,1.633216257,1.5,1.5,1.5,0.693794507,0.821956369,1,0.47734139,0.747325522,0.957924264,1.5,1,0.753122704,0.982130584
1999,1.106094808,0.813772455,1,0.796251511,0.789817232,1.41509434,0.816608128,0.83633412,0.897466828,0.888819488,0.888888889,1.643912738,0.839160839,0.47734139,0.747325522,1.915848527,0.839237057,0.444444444,0.753122704,0.982130584
2000,1.106094808,0.813772455,1.036803365,0.5,0.789817232,0.70754717,0.5,0.83633412,0.897466828,0.888819488,0.693794507,0.821956369,0.839160839,0.47734139,0.373662761,0.957924264,0.571428571,0.875,0.753122704,0.5
2001,1.106094808,0.813772455,1.036803365,0.796251511,0.789817232,0.70754717,0.816608128,0.83633412,0.897466828,0.888819488,0.693794507,0.821956369,0.839160839,0.47734139,0.747325522,1,0.839237057,0.875,0.753122704,0.982130584
2002,1.106094808,0.813772455,1.036803365,0.796251511,0.5,0.70754717,0.816608128,0.83633412,0.897466828,0.888819488,0.693794507,0.821956369,0.5,0.47734139,0.747325522,0.957924264,0.839237057,0.4375,0.376561352,0.982130584
2003,0.5,0.666666667,1,0.333333333,0.789817232,0.70754717,0.816608128,0.666666667,0.897466828,0.888819488,0.666666667,0.333333333,1.678321678,0.47734139,0.747325522,0.957924264,0.839237057,0.333333333,0.333333333,1
2004,1,1.5,1.036803365,1.333333333,1.5,1.5,0.816608128,1.5,1.333333333,1.333333333,0.693794507,1.25,0.839160839,0.47734139,1.285714286,1.333333333,1,0.875,0.753122704,0.982130584
2005,1,0.813772455,1.036803365,0.796251511,0.789817232,0.70754717,0.816608128,0.83633412,0.333333333,0.333333333,0.333333333,0.821956369,1.678321678,0.47734139,0.666666667,0.957924264,0.839237057,1,0.753122704,0.982130584
2006,1.106094808,1,0.5,0.428571429,0.789817232,0.70754717,0.816608128,0.83633412,1,1,0.693794507,0.821956369,0.839160839,0.47734139,0.747325522,0.957924264,1,0.333333333,0.428571429,0.982130584
2007,1.106094808,0.813772455,1,0.4,1,0.666666667,1.633216257,1,0.897466828,0.888819488,0.666666667,0.821956369,0.839160839,0.47734139,1.494651044,1.915848527,0.839237057,0.875,1.506245408,1
2008,1.106094808,0.5,1.036803365,0.5,0.789817232,0.70754717,0.816608128,0.83633412,0.897466828,0.888819488,1,0.821956369,0.839160839,0.47734139,0.583333333,1.915848527,1,0.875,0.5,0.982130584
2009,0.5,0.813772455,1.036803365,1,1.579634465,0.70754717,0.5,0.5,1.794933655,1.777638976,0.693794507,0.5,0.333333333,0.47734139,0.5,0.5,0.5,1,0.333333333,0.5
2010,1.106094808,0.813772455,1,0.796251511,0.789817232,1.41509434,0.5,1,1,1,0.693794507,0.821956369,0.839160839,0.47734139,0.5,1,1,0.875,0.753122704,0.5
2011,1.106094808,0.813772455,0.4,0.796251511,0.789817232,0.4,1.633216257,1.672668241,0.897466828,0.888819488,0.693794507,0.821956369,0.839160839,0.47734139,0.4,0.957924264,0.333333333,0.875,0.753122704,1.964261168
2012,0.5,0.666666667,1.036803365,0.796251511,0.789817232,0.333333333,0.6,0.83633412,0.897466828,0.888819488,0.666666667,0.821956369,0.839160839,0.666666667,0.747325522,0.957924264,0.839237057,0.875,0.753122704,0.6
2013,1.106094808,0.813772455,1.036803365,0.796251511,0.789817232,0.70754717,0.816608128,0.83633412,0.897466828,0.888819488,0.693794507,0.821956369,0.839160839,0.47734139,0.666666667,0.957924264,1.5,0.875,0.753122704,0.982130584
2014,1.106094808,0.6,1.036803365,1.592503023,0.789817232,0.70754717,1.633216257,0.83633412,0.897466828,0.888819488,0.6,0.821956369,0.839160839,0.47734139,0.747325522,0.957924264,0.4,0.875,0.753122704,1.964261168
2015,1.106094808,0.813772455,1,1,0.789817232,1,0.5,0.83633412,0.897466828,0.888819488,0.693794507,1,0.839160839,0.47734139,0.747325522,0.957924264,1.678474114,0.875,1,1
2016,1.106094808,1,1.036803365,1,0.789817232,1,0.408304064,0.83633412,0.897466828,0.888819488,1,0.821956369,1,0.47734139,0.5,0.957924264,0.839237057,0.875,0.753122704,0.982130584
2017,1.106094808,0.813772455,1.036803365,0.796251511,0.789817232,1,0.816608128,0.83633412,0.897466828,0.888819488,0.693794507,0.821956369,0.839160839,0.47734139,0.747325522,0.957924264,1.678474114,0.875,0.753122704,0.982130584
